column,n_nonnull,n_unique_nonnull,top_value,top_value_rate_nonnull
AL_80,1197,1,1.0,1.0
AL_101,1486,1,1.0,1.0
AL_104,1486,1,1.0,1.0
AL_107,1486,1,1.0,1.0
AL_110,1486,1,1.0,1.0
AL_113,1486,1,1.0,1.0
AL_116,1486,1,1.0,1.0
AL_119,1486,1,1.0,1.0
AL_122,1486,1,1.0,1.0
AL_125,1486,1,1.0,1.0
AL_128,1486,1,1.0,1.0
AL_131,1486,1,1.0,1.0
AL_134,1486,1,1.0,1.0
AL_137,1486,1,1.0,1.0
AL_140,1486,1,1.0,1.0
AL_143,1486,1,1.0,1.0
AL_146,1486,1,1.0,1.0
AL_149,1486,1,1.0,1.0
AL_152,1486,1,1.0,1.0
AL_155,1486,1,1.0,1.0
AL_158,1486,1,1.0,1.0
AL_161,1486,1,1.0,1.0
AL_164,1486,1,1.0,1.0
AL_167,1486,1,1.0,1.0
AL_170,1486,1,1.0,1.0
AL_173,1486,1,1.0,1.0
AL_176,1486,1,1.0,1.0
AL_179,1486,1,1.0,1.0
AL_182,1486,1,1.0,1.0
AL_185,985,1,264690.0,1.0
AL_191,1041,1,1.0,1.0
AL_195,1041,1,1.0,1.0
AL_197,1041,1,1.0,1.0
AL_200,1041,2,1.0,0.9990393852065321
AL_204,1041,2,1.0,0.9990393852065321
AL_208,1041,1,1.0,1.0
AL_212,1041,1,1.0,1.0
AL_216,752,2,1.0,0.9986702127659575
AL_220,1041,1,1.0,1.0
AL_227,1041,2,1.0,0.9990393852065321
AL_231,1041,1,1.0,1.0
AL_233,1041,1,1.0,1.0
AL_236,1041,1,1.0,1.0
AL_240,1041,2,1.0,0.9990393852065321
AL_244,1041,1,1.0,1.0
AL_248,1041,1,1.0,1.0
AL_252,991,2,1.0,0.9989909182643795
AL_256,1041,1,1.0,1.0
AL_263,1041,1,1.0,1.0
AL_267,1041,2,1.0,0.9990393852065321
AL_269,1041,2,1.0,0.9990393852065321
AL_272,1041,1,1.0,1.0
AL_276,1041,1,1.0,1.0
AL_280,1041,1,1.0,1.0
AL_284,1041,1,1.0,1.0
AL_288,979,2,1.0,0.9979570990806946
AL_292,1041,1,1.0,1.0
AL_299,1632,1,1.0,1.0
AL_303,1632,1,1.0,1.0
AL_307,1632,1,1.0,1.0
AL_309,1632,1,1.0,1.0
AL_312,1632,1,1.0,1.0
AL_316,1632,1,1.0,1.0
AL_320,1632,1,1.0,1.0
AL_324,1632,1,1.0,1.0
AL_332,1632,1,1.0,1.0
