,count,mean,std,min,25%,50%,75%,max,missing_rate,skew,n_notna,is_binary_01
AL_1,294.0,0.028382451081754183,0.08844625074446491,1.3977234981272202e-25,0.000540001744036075,0.00234042147142885,0.016732947180275775,0.8869883592984639,0.8996929375639714,6.197505553128705,294,False
AL_2,294.0,0.029688850177169043,0.09544671221979815,9.488665652054113e-34,3.814048507636044e-05,0.0020562537638965,0.014764688834331274,0.8528915348856843,0.8996929375639714,5.862790486865726,294,False
AL_3,294.0,0.026999707570499014,0.09132589012806419,4.286442651606056e-22,4.861632392509953e-05,0.0017114691226960501,0.010350000027959825,0.8961300038903997,0.8996929375639714,6.897283795292267,294,False
AL_4,294.0,0.030877051961666943,0.10562142191533976,3.066092221493814e-30,9.413008478907013e-07,0.000903897864541,0.011973008407110824,0.9289024073858438,0.8996929375639714,5.81457158834786,294,False
AL_5,294.0,0.02833292392363696,0.09413189633813139,7.127329691707833e-26,7.440782728382905e-06,0.00180000024433845,0.015161221465409824,0.9000006422530119,0.8996929375639714,6.6062971562384645,294,False
AL_6,294.0,0.03148367233142941,0.09826032439811394,6.573088488942498e-26,1.3067883264090323e-06,0.0009000233967170501,0.014079627584085574,0.9103147214978689,0.8996929375639714,5.6741877153831854,294,False
AL_7,1787.0,0.011227938442276274,0.0415784342843689,1.0865462854115078e-21,1.1656650045385536e-05,0.0002808651286854,0.006438192195780399,0.902717629203011,0.3903104742408734,13.246508998207915,1787,False
AL_8,1787.0,0.012030349445753184,0.04131799045437815,1.1742215424164191e-38,2.252069393370781e-06,0.0002425643244312,0.0072324747336874,0.8607012087665332,0.3903104742408734,11.143730128672079,1787,False
AL_9,1787.0,0.011807337105385427,0.04088337043521962,5.220969683114304e-34,3.823512437283246e-06,0.0003322463907223,0.00705016102077445,0.8977076487875717,0.3903104742408734,13.712366432951153,1787,False
AL_10,1787.0,0.011976657138358354,0.04146036009170519,1.2165187947220853e-33,4.947801708698331e-07,0.0001547562065203,0.006549760461466049,0.9000049023951877,0.3903104742408734,12.64405058026337,1787,False
AL_11,1787.0,0.012094905271853439,0.04438939543480519,1.4752024015101162e-36,1.1291672264676296e-06,0.0001803938240843,0.0077358893228662,0.9026048285258764,0.3903104742408734,12.66657687510736,1787,False
AL_12,1787.0,0.012094692150352521,0.04389779688313083,1.0066820797555104e-32,3.333360210306803e-07,0.0001514201377354,0.0062068312954537495,0.900000000073063,0.3903104742408734,12.12660240109926,1787,False
AL_13,1787.0,0.01115480234382809,0.042201882498713886,2.3663504729191953e-30,8.486112744734755e-06,0.0002341650981002,0.00536926241024265,0.9013632373840138,0.3903104742408734,13.11000122040858,1787,False
AL_14,1787.0,0.010902462499414733,0.041147171401509156,1.6498587207405304e-28,1.377758868839287e-05,0.00026514,0.00552199536374865,0.8976612270086644,0.3903104742408734,13.109187484626798,1787,False
AL_15,1787.0,0.011714016129036393,0.04263046881789711,4.7877874851953366e-36,4.512738503785992e-06,0.0001330955598245,0.00607470648276475,0.9068447512405432,0.3903104742408734,11.862685538020624,1787,False
AL_16,1056.0,0.013826758604931117,0.051114748790754644,3.10954121491543e-16,3.625841986463962e-05,0.0004915883374448,0.0074636741732001756,0.8883900033477107,0.6397134083930399,10.929380258620434,1056,False
AL_17,1056.0,0.014678430094996905,0.05260903030381167,3.75643654952311e-40,2.179752601668533e-05,0.0005214855837488001,0.007778182233367575,0.870585805817814,0.6397134083930399,9.560246504259654,1056,False
AL_18,1056.0,0.013432824973702354,0.051506493496730345,9.911237570281051e-33,1.016023825262566e-07,0.0001678231152802,0.006803484808625325,0.901848212428412,0.6397134083930399,10.557525560758238,1056,False
AL_19,1056.0,0.013087700997446638,0.05087640724059621,4.620786747541946e-26,4.563391780207896e-06,0.00033952910805145004,0.006281136049788725,0.8958622397761431,0.6397134083930399,11.564282372481443,1056,False
AL_20,1055.0,0.013813122406092749,0.05197999288959466,2.129596255589615e-32,2.4293363891015096e-07,0.0001949877784613,0.00691909478817255,0.9004682325868015,0.6400545888775162,11.013570777425135,1055,False
AL_21,1055.0,0.01398325720097285,0.057891493886462364,1.571573520057602e-32,5.045010010378271e-07,0.0002469239303647,0.006578565186575,0.900973943989964,0.6400545888775162,10.336042922811577,1055,False
AL_22,1055.0,0.013670840891425437,0.05432710368184131,3.845518387741871e-35,3.913081441583121e-07,0.0002471188996088,0.0063430501358405,0.9244419496369798,0.6400545888775162,10.946408887177148,1055,False
AL_23,1056.0,0.013925863367046218,0.05293827866105413,1.8778734576708568e-53,2.9132006584348265e-05,0.0003977582580789,0.0080555566355363,0.8998204130562623,0.6397134083930399,11.107627018485074,1056,False
AL_24,1055.0,0.013458293038432972,0.05015605298346586,2.4930210262823335e-35,4.1206798220515704e-07,0.0004411632117399,0.00651709479949915,0.8948015288521592,0.6400545888775162,11.046254170826222,1055,False
AL_25,1055.0,0.013271402099298698,0.053630611281292234,6.093312148398162e-55,1.5422487218327083e-07,0.0001873871226732,0.004806795606785,0.9000000000930841,0.6400545888775162,10.17983441381277,1055,False
AL_26,1846.0,0.014779090472673086,0.055676735168755716,4.1433693082896404e-37,5.3043710676907934e-05,0.0008699595792563001,0.0086867282094683,0.9001646182566688,0.3701808256567724,9.72400761016355,1846,False
AL_27,252.0,0.5804380693011297,0.49215215564998743,0.0,0.0,1.0,1.0,1.0,0.9140225179119754,-0.3291950981409196,252,False
AL_28,252.0,0.025094546989592997,0.07783128326082105,7.424175437891996e-05,0.000539183765369425,0.002157567042589,0.017476806155997802,0.8915776654433951,0.9140225179119754,7.30506976686473,252,False
AL_29,252.0,0.5892010455371115,0.4900859625847339,0.0,0.0,1.0,1.0,1.0,0.9140225179119754,-0.3645564230600812,252,False
AL_30,252.0,0.025629729466138555,0.09006731891367901,3.286642361197926e-26,5.605476859769261e-06,0.001629318663825,0.01213781515801035,0.8636406828621068,0.9140225179119754,6.473322993367078,252,False
AL_31,252.0,0.5113540442242339,0.4923038178196026,0.0,0.0,0.7503461983821664,1.0,1.0,0.9140225179119754,-0.04058216046663345,252,False
AL_32,252.0,0.02061519185860576,0.0773651681408079,1.6064368020613197e-18,3.260408988994886e-06,0.0013321051682337998,0.010000956817821824,0.9117905485104194,0.9140225179119754,8.482820782493976,252,False
AL_33,252.0,0.5038604688245417,0.49413284961841236,0.0,0.0,0.5616444543109456,1.0,1.0,0.9140225179119754,-0.013196720984459108,252,False
AL_34,252.0,0.02034704361740099,0.08231779936273786,8.553464983984197e-28,5.131490733647986e-07,0.00031041836615394996,0.005179419283955725,0.9045522441222432,0.9140225179119754,7.8034985694541374,252,False
AL_35,252.0,0.5333666583189186,0.49431578177664154,0.0,0.0,1.0,1.0,1.0,0.9140225179119754,-0.12990888667001727,252,False
AL_36,252.0,0.021511704624955115,0.08053047247844372,1.6362490614820674e-32,4.7175870919935184e-05,0.0015688502000134998,0.010853656190470976,0.9000925482208537,0.9140225179119754,7.765269904031186,252,False
AL_37,252.0,0.5689734878658332,0.4887564413151411,0.0,0.0,1.0,1.0,1.0,0.9140225179119754,-0.28003286950699524,252,False
AL_38,252.0,0.024447327784973483,0.08205027114169462,1.902329331135525e-28,9.991581528456848e-07,0.0009226786007373,0.014633031574820175,0.9000107387896592,0.9140225179119754,7.058067106682509,252,False
