Variant_ID,Label,prediction,probability,case_type
VAR_000632,1,1,0.9999999965095587,TP
VAR_005682,1,1,0.9999999915180818,TP
VAR_005503,1,1,0.9999999874823776,TP
VAR_000941,1,1,0.9999999818326247,TP
VAR_000965,1,1,0.9999999632294716,TP
VAR_004762,0,0,1.5452047593146785e-07,TN
VAR_005220,0,0,2.441621025711402e-07,TN
VAR_004753,0,0,3.869122206515531e-07,TN
VAR_001276,0,0,4.107119341432899e-07,TN
VAR_006255,0,0,4.930716217839046e-07,TN
VAR_005367,1,0,0.4757050865052074,FN
VAR_001548,1,0,0.4757050865052074,FN
VAR_000414,1,0,0.4757050865052074,FN
VAR_001571,1,0,0.4757050865052074,FN
VAR_001391,1,0,0.4757050865052074,FN
