Variant_ID,Label,prediction,probability,case_type
KANSER_unique:VAR_001074,1,1,0.9999999467884129,TP
CFTR_unique:VAR_001838,1,1,0.9999997207511995,TP
PAH_unique:VAR_002853,1,1,0.9999996488071926,TP
CFTR_unique:VAR_001916,1,1,0.999999562216765,TP
KANSER_unique:VAR_000935,1,1,0.999999456010951,TP
PAH_unique:VAR_003214,0,0,1.3404883415085894e-07,TN
KANSER_unique:VAR_002373,0,0,1.4360605426740113e-06,TN
PAH_unique:VAR_002652,0,0,1.8862574810682402e-06,TN
CFTR_unique:VAR_001901,0,0,3.5800104559123967e-06,TN
KANSER_unique:VAR_003622,0,0,3.917817516795027e-06,TN
KANSER_unique:VAR_000693,0,1,0.9999995352185851,FP
PAH_unique:VAR_002857,0,1,0.9999953460447076,FP
KANSER_unique:VAR_004336,0,1,0.9999746560683646,FP
KANSER_unique:VAR_000624,0,1,0.9999655078339169,FP
KANSER_unique:VAR_000929,0,1,0.9999652305073067,FP
PAH_unique:VAR_002796,1,0,0.01404820245944052,FN
PAH_unique:VAR_002609,1,0,0.30179937729726575,FN
CFTR_unique:VAR_001858,1,0,0.30318061093208526,FN
KANSER_unique:VAR_001282,1,0,0.40639959529436925,FN
KANSER_unique:VAR_000626,1,0,0.4757050865052074,FN
