model,fold,auc_roc,f1_macro_default_0.5
lightgbm,0,0.8627705902249281,0.7097237662447422
catboost,0,0.8750739895146288,0.7597017158818835
xgboost,0,0.8525917469981397,0.7337864627584254
extra_trees,0,0.8441675122611196,0.7711170806038613
lr_ek_only,0,0.7285324708269914,0.6559151193633952
lightgbm,1,0.8522215136054422,0.7530821211183327
catboost,1,0.8525616496598639,0.757731045652394
xgboost,1,0.855750425170068,0.729359978642079
extra_trees,1,0.8165603741496599,0.7259740536849741
lr_ek_only,1,0.7186437074829932,0.6605978621256731
lightgbm,2,0.8496573142000429,0.7065931346106249
catboost,2,0.8560612550867422,0.761861978534311
xgboost,2,0.8596487470550439,0.7378605261332173
extra_trees,2,0.8364317841079459,0.736327808368505
lr_ek_only,2,0.697504819019062,0.6397002094125428
lightgbm,3,0.8343137254901961,0.7164835164835165
catboost,3,0.8351511437908496,0.7404254822287609
xgboost,3,0.8311683006535947,0.7016843094578551
extra_trees,3,0.8520424836601308,0.7501553566989809
lr_ek_only,3,0.7350490196078432,0.6638132739827656
lightgbm,4,0.8005807437595517,0.704269624216477
catboost,4,0.8134386143657667,0.7146740259354878
xgboost,4,0.813173713703515,0.704421261798311
extra_trees,4,0.7946204788588894,0.7391807786944565
lr_ek_only,4,0.6619663779928681,0.6095039083662255
stack_l1_logreg,-1,0.8467861618488793,0.756662370928993
