model,fold,roc_auc,pr_auc,f1_macro,mcc,precision,recall,tn,fp,fn,tp
majority_class,0,0.5,0.6893617021276596,0.4080604534005038,0.0,0.6893617021276596,1.0,0,146,0,324
acmg_rule,0,0.6980170810079487,0.8152320268593601,0.5668321939007112,0.221628285057948,0.8090452261306532,0.49691358024691357,108,38,163,161
lr_ek_only,0,0.7285324708269914,0.8254217040158558,0.6559151193633952,0.31186035162193415,0.7852760736196319,0.7901234567901234,76,70,68,256
majority_class,1,0.5,0.6852248394004282,0.40660736975857686,0.0,0.6852248394004282,1.0,0,147,0,320
acmg_rule,1,0.6904443027210885,0.8092547928870121,0.5397277182122987,0.19015370271389656,0.797752808988764,0.44375,111,36,178,142
lr_ek_only,1,0.7186437074829932,0.8168631435226659,0.6605978621256731,0.3212032679411935,0.786833855799373,0.784375,79,68,69,251
majority_class,2,0.5,0.6895074946466809,0.40811153358681873,0.0,0.6895074946466809,1.0,0,145,0,322
acmg_rule,2,0.6979867209252517,0.8098105887968903,0.5547522956161137,0.20719730737190256,0.8052631578947368,0.4751552795031056,108,37,169,153
lr_ek_only,2,0.697504819019062,0.8156483580855186,0.6397002094125428,0.2802649846601907,0.7813504823151125,0.7546583850931677,77,68,79,243
majority_class,3,0.5,0.6765327695560254,0.403530895334174,0.0,0.6765327695560254,1.0,0,153,0,320
acmg_rule,3,0.6853553921568626,0.7875348361721627,0.5359940872135994,0.18353514134481272,0.7885714285714286,0.43125,116,37,182,138
lr_ek_only,3,0.7350490196078432,0.8366579520253041,0.6638132739827656,0.3282290589820838,0.7781155015197568,0.8,80,73,64,256
majority_class,4,0.5,0.6827731092436975,0.40574282147315854,0.0,0.6827731092436975,1.0,0,151,0,325
acmg_rule,4,0.6382781456953641,0.7626638246790897,0.5078433199763923,0.11105921792269861,0.7473118279569892,0.4276923076923077,104,47,186,139
lr_ek_only,4,0.6619663779928681,0.7896838011189627,0.6095039083662255,0.2193348388913174,0.75,0.7661538461538462,68,83,76,249
