,aa_change_te,EK_7,miss_pc7,EK_1,EK_5,EK7xEK9,max_prob_EK,EK_9,EK_8,min_AF_nz,EK_6,cat1_te,EK4xEK6,AL_12,AL_26,EK2xEK4,EK_2,AL_10,EK7_minus_EK9,AL_11,EK_3,EK_4,n_pops,max_AF,log_max_AF,n_nonmiss_AL,BA1_flag,BS1_flag,PM2_flag,BS2_proxy,EK_net_evidence,aa_class_changed
aa_change_te,1.0,0.15797628027201394,-0.03714631856848644,0.010579473558289122,0.06502297706482303,0.14067836319626614,0.11977582674812748,0.11122287732355512,0.03828111731227621,0.03171702625691033,0.09196654406658203,0.1487497981460351,0.10812317059885815,-0.03772539455038639,-0.13652549662807503,0.12145093532597356,0.11148616252983805,-0.047767741457411354,-0.0047820596634676445,-0.02270250963670538,0.18651984214833336,0.09716765149351067,-0.1702764678243821,-0.12554555515477955,-0.12554555515477955,-0.1341056024824905,-0.10519661122213342,-0.12542114823500322,0.1155805479976959,-0.16504737853897017,0.21145083065087641,0.3591299615524839
EK_7,0.15797628027201394,1.0,0.01095471918441043,0.11754481000476324,0.17865844156713873,0.9521823526325502,0.30313114115821715,0.7538883827860774,0.33678997030301555,0.028868665240450765,0.2740455926843117,0.21859239848543469,0.3593847579621883,-0.03716305062170875,-0.14798126351121743,0.5292792161020645,0.4958158192101694,-0.044563350613093064,0.023343311906462744,-0.040859145492528025,0.6384171484851144,0.3280530072824248,-0.2592800208104054,-0.18727490825748935,-0.18727490825748935,-0.2675056471323268,-0.1327775609387991,-0.1905727237532254,0.18450761409011845,-0.24548028102872105,0.7025149492418018,0.0990596819127788
miss_pc7,-0.03714631856848644,0.01095471918441043,1.0,-0.028356484386373084,-0.033787976391677,0.00419185892824144,0.004427932201035525,0.009570759386420333,0.00164089953212324,-0.11290203775093807,-0.027114082245405475,-0.09991560108047236,-0.01183683490433217,0.022364208114915657,-0.09428384641911185,-0.00792197343394695,-0.011052379049584744,-0.038975177614997594,0.001944146046341745,-0.06856498791930715,0.03144151798936805,0.01372873916978182,0.3943559573277255,0.44597656502070365,0.44597656502070365,0.22255776021709678,0.29821591926694074,0.5237920398485152,-0.5684116803238695,0.33328899148654156,-0.0930121901749981,-0.09834396692405609
EK_1,0.010579473558289122,0.11754481000476324,-0.028356484386373084,1.0,0.17756030045159457,0.11116365058876161,0.09374990560323909,0.09741829023847855,0.1273102760239431,-0.004954184910596171,0.07444792771348496,0.04110944392805955,0.08351279156762424,-0.011722690120729821,0.022146759065313847,0.5628207196200957,0.5834663593789736,0.02844760701642418,-0.003306706935108782,-0.027469165964270237,0.1497122340415826,0.08254079421750928,-0.07421547349522141,-0.05415551704382814,-0.05415551704382814,-0.063873190146266,-0.034875270271879574,-0.05439433765917032,0.06515563469468917,-0.06534776400516083,0.14709344338483857,0.0027588995527085217
EK_5,0.06502297706482303,0.17865844156713873,-0.033787976391677,0.17756030045159457,1.0,0.18188748607740746,0.37290350107538145,0.15065410306894605,0.12531361783011297,0.004561316126773418,0.1458073077838798,0.10240179842430491,0.14888166846916867,-0.0026794665284507716,-0.07468181391629378,0.21954359597417933,0.209317735873451,-0.008276704975365584,-0.011437628399918543,-0.0670283626457164,0.19081306398839964,0.14769434471632417,-0.17309608381867175,-0.14084756784201607,-0.14084756784201607,-0.17384052927890187,-0.09822098284674885,-0.140422177603385,0.14602722351731054,-0.15361661014364403,0.21467521421019992,-0.006928745584962708
EK7xEK9,0.14067836319626614,0.9521823526325502,0.00419185892824144,0.11116365058876161,0.18188748607740746,1.0,0.2803016079403832,0.8939629294508664,0.3827463876029329,0.025746093776829012,0.2583482368043472,0.2205821382936609,0.3334092945239832,-0.03348149045069992,-0.13569041460532213,0.5229685021310561,0.4944391300506725,-0.029402041120323828,-0.21186299924614313,-0.06542888909719717,0.6148228200583816,0.29448194647553105,-0.25878061689810006,-0.19050505004674542,-0.19050505004674542,-0.2630765228039158,-0.13920874257766513,-0.1896826354129047,0.18548864222908001,-0.2464356999710422,0.7450130588942242,0.10716644344386139
max_prob_EK,0.11977582674812748,0.30313114115821715,0.004427932201035525,0.09374990560323909,0.37290350107538145,0.2803016079403832,1.0,0.2726911696668716,0.12626980591037407,-0.011632723226415991,0.6039999814450098,0.11580454113298193,0.6043138494167504,0.00700246668750356,-0.10495624597633761,0.3187604399026326,0.25194463938450096,-0.0007092079361292236,-0.10882825317596581,-0.048020030696101605,0.32392617730373124,0.6071643185203961,-0.14189532538132507,-0.1155563500408189,-0.1155563500408189,-0.14927127945175098,-0.09356109409703102,-0.10576881041516466,0.10631769747767883,-0.12978060253234358,0.3163288606400446,0.05179594009582726
EK_9,0.11122287732355512,0.7538883827860774,0.009570759386420333,0.09741829023847855,0.15065410306894605,0.8939629294508664,0.2726911696668716,1.0,0.44076042063990556,0.025088172562262732,0.261111950345533,0.19190921218062792,0.31219938593556545,-0.02636193032479706,-0.12029293195888972,0.4835826403297177,0.4677784960444442,-0.01868040601890471,-0.5588578375968862,-0.06551890119172794,0.5692736965801581,0.2732453195898312,-0.21321434392643981,-0.15826321825020961,-0.15826321825020961,-0.2097581698682078,-0.12260425977024006,-0.14920454506664196,0.14996181445700865,-0.20303418534403397,0.6616413735933019,0.10833584892172193
EK_8,0.03828111731227621,0.33678997030301555,0.00164089953212324,0.1273102760239431,0.12531361783011297,0.3827463876029329,0.12626980591037407,0.44076042063990556,1.0,0.006689079435449882,0.12097997628372664,0.059819968738331154,0.1490069432648217,-0.005203574631332467,-0.04872077242857513,0.2649861825747136,0.26668056817671415,-0.006957894559120404,-0.3134951076378777,-0.0036256692472411466,0.27424819447818705,0.14170431186192867,-0.08144755823194254,-0.054224856133489215,-0.054224856133489215,-0.06682809551240255,-0.03373783553416039,-0.06035391591154846,0.059390207928603146,-0.06921009487102739,0.2689817448539057,0.045156076858074636
min_AF_nz,0.03171702625691033,0.028868665240450765,-0.11290203775093807,-0.004954184910596171,0.004561316126773418,0.025746093776829012,-0.011632723226415991,0.025088172562262732,0.006689079435449882,1.0,-0.011918586155934201,0.07161191388392889,-0.01129772855546712,0.15630440814945998,-0.012516760211357515,0.013394608188601862,0.01160236410674538,0.14031192475168075,-0.011861429107917194,0.13819508727024224,0.011298265993522532,0.0014343485888303358,-0.14892739228177582,0.03700916918670759,0.03700916918670759,-0.0730504891042548,0.005906402655533544,-0.02357341233279176,,-0.194085256691252,-0.011801580943781753,0.016958965187750533
