feature,error_group,mean,median,n_notna
EK_7,FN,4.2684009727614765,4.591557250726147,112
EK_7,FP,5.484962571788098,5.858628721817748,231
EK_7,TN,2.9295144818219367,2.349341729330321,370
EK_7,TP,6.892411548984772,7.6964650055581885,1292
EK_9,FN,5.7983170616327655,6.22343033225309,92
EK_9,FP,7.00242910815867,7.695630168228249,215
EK_9,TN,4.3333418076051755,4.3099994310699685,330
EK_9,TP,8.3453021285025,8.0846666045193,1120
n_pops,FN,20.73913043478261,20.0,161
n_pops,FP,9.967213114754099,10.0,305
n_pops,TN,18.645308924485125,20.0,437
n_pops,TP,7.358620689655172,10.0,1450
max_AF,FN,0.07222458037903624,0.0646243089880669,161
max_AF,FP,0.03829170749103309,0.0353679610065704,305
max_AF,TN,0.06944335387978795,0.0633151136577804,437
max_AF,TP,0.028152885086089506,0.0087879634253096,1450
log_max_AF,FN,-1.4739174490458302,-1.1896040876778617,161
log_max_AF,FP,-5.910375654659731,-1.451389976914674,305
log_max_AF,TN,-3.6804483887953596,-1.1984926091815558,437
log_max_AF,TP,-7.638086695592155,-2.0561119450049024,1450
EK_net_evidence,FN,2.186335403726708,3.0,161
EK_net_evidence,FP,2.9278688524590164,4.0,305
EK_net_evidence,TN,1.4210526315789473,2.0,437
EK_net_evidence,TP,4.212413793103448,5.0,1450
