feature,mean_abs_shap
aa_change_te,1.6417419718915773
EK_7,0.7663962287971123
miss_pc7,0.7222668485921659
EK_1,0.41234649342577445
EK_5,0.3687362178664147
EK7xEK9,0.3647524812772947
max_prob_EK,0.3280960113763031
EK_9,0.3233533544063106
EK_8,0.31690786071087096
min_AF_nz,0.29796255869794963
EK_6,0.28013721855256923
cat1_te,0.27079180164654565
EK4xEK6,0.2557028568459163
AL_12,0.24939240783530134
AL_26,0.24379858152043216
EK2xEK4,0.23779685390641309
EK_2,0.23747077557274043
AL_10,0.2128687380413268
EK7_minus_EK9,0.20863420227124016
AL_11,0.19566485584228896
AL_186,0.19559837289980384
aa_involves_R,0.19383615300047113
AL_14,0.18417492078424383
AL_9,0.1782854492255416
AL_22,0.17696120263517612
AL_17,0.1749982283228005
AL_23,0.17306460409627408
AL_319,0.17073205858935692
EK_4,0.16991596666014344
EK_3,0.16218686766520513
AL_327,0.16009056359916757
miss_pc4,0.1598362922527613
AL_306,0.15735201658832412
miss_pc8,0.1557082142396044
AL_73,0.15142075225385798
aa_class_changed,0.15006647457359854
AL_8,0.14549556675887299
AL_58,0.14524256523624213
AL_1,0.1434275040638757
AL_91,0.13835096228432572
AL_298,0.13496860060297883
AL_19,0.13318510967916483
AL_16,0.13281370326230246
AL_40,0.1264597658168682
AL_15,0.12605474202392022
AL_136,0.12600226312709079
AL_287,0.1254895241116341
miss_pc10,0.1252503868217589
AL_18,0.12177594859403798
AL_52,0.12091915516040538
max_AF,0.12010605916045841
miss_pc6,0.11993247776237682
AL_251,0.11720923674351627
AL_13,0.11611923136263803
log_max_AF,0.10124513771419263
AL_311,0.0959158506988471
AL_323,0.09129514530886705
AL_7,0.08841311883621629
AL_20,0.08754196418019508
AL_24,0.08672099443977692
AL_304,0.08595823861845021
AL_25,0.08502305175193342
AL_178,0.08393064775285522
AL_296,0.08251914836664012
AL_315,0.08169665888286774
AL_46,0.08016836645276405
AL_148,0.08008264247712212
AL_331,0.08000932387499177
AL_184,0.07853816720069541
AL_215,0.07532440402780985
AL_124,0.07363420075818454
AL_255,0.07282852306234162
AL_97,0.07084296173397069
AL_106,0.06915704086389156
AL_54,0.06911464015814588
AL_112,0.06779625148572846
AL_21,0.06562634226712726
AL_70,0.06406081871346893
aa_involves_G,0.06307344340197811
AL_79,0.0624747554871387
AL_207,0.06190653419878093
AL_166,0.05998183579022207
AL_177,0.058205038574941206
AL_163,0.057511326638473956
AL_64,0.05700567783796368
AL_83,0.056692966952362485
AL_133,0.0564113302831517
AL_82,0.05527246647339426
AL_61,0.05484110493721958
AL_68,0.05426684068374578
miss_pc1,0.05296952902282926
AL_49,0.05271504181801385
miss_pc5,0.05246237435314778
AL_247,0.052245295397961806
AL_181,0.05117014815796782
miss_pc3,0.05099713238774254
AL_224,0.050741016683802626
aa_from_special,0.050611040200467076
AL_194,0.050184961005706546
AL_145,0.04642110468295333
AL_43,0.0450565544350851
n_EK_path,0.04479860926786231
AL_130,0.04455300247396312
