feature,importance,feature_group,acmg_inspired_mapping
aa_change_te,315,AA substitution,Protein-level substitution plausibility
EK_8,241,EK conservation/prediction,PP3/BP4-like computational evidence
EK_7,226,EK conservation/prediction,PP3/BP4-like computational evidence
EK_1,221,EK conservation/prediction,PP3/BP4-like computational evidence
EK7xEK9,214,EK conservation/prediction,PP3/BP4-like computational evidence
EK_9,200,EK conservation/prediction,PP3/BP4-like computational evidence
EK_2,188,EK conservation/prediction,PP3/BP4-like computational evidence
EK_3,181,EK conservation/prediction,PP3/BP4-like computational evidence
AL_12,174,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
AL_11,173,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
EK7_minus_EK9,172,EK conservation/prediction,PP3/BP4-like computational evidence
EK_5,164,EK conservation/prediction,PP3/BP4-like computational evidence
AL_10,158,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
EK2xEK4,156,EK conservation/prediction,PP3/BP4-like computational evidence
AL_9,154,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
AL_26,149,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
AL_14,146,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
AL_15,145,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
EK4xEK6,138,EK conservation/prediction,PP3/BP4-like computational evidence
EK_6,135,EK conservation/prediction,PP3/BP4-like computational evidence
AL_186,126,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
miss_pc7,119,Missingness,Dataset coverage and missingness pattern signal
min_AF_nz,115,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
AL_8,110,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
EK_4,110,EK conservation/prediction,PP3/BP4-like computational evidence
AL_311,100,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
AL_327,99,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
AL_91,93,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
AL_7,92,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
AL_22,91,AL/population frequency,BA1/BS1/PM2-like allele-frequency evidence
