dataset,metric,mean,ci_low,ci_high,n_bootstrap_used
CFTR_unique,auc_roc,0.9623932278788508,0.8961847606689735,1.0,1000
CFTR_unique,auc_pr,0.9619412977321194,0.8882739730144802,1.0,1000
CFTR_unique,f1_macro,0.8810896355809302,0.7638888888888888,0.9705627705627706,1000
CFTR_unique,f1_weighted,0.8843864168227948,0.7647058823529411,0.9707196596982873,1000
CFTR_unique,mcc,0.7684341974065882,0.533113989983183,0.9428090415820634,1000
CFTR_unique,cohen_kappa,0.7631698555528784,0.5294117647058824,0.9411764705882353,1000
KANSER_unique,auc_roc,0.904363865849377,0.855336019882476,0.9483366154873164,1000
KANSER_unique,auc_pr,0.7837683561267136,0.6453202697097558,0.9027995104864095,1000
KANSER_unique,f1_macro,0.7133497621054619,0.6389055674432417,0.7844772294935073,1000
KANSER_unique,f1_weighted,0.7280484863483802,0.6549644451756037,0.7979561965432125,1000
KANSER_unique,mcc,0.5190929937174965,0.4046162555038917,0.6262287672478014,1000
KANSER_unique,cohen_kappa,0.46021579978850224,0.34222460775672275,0.5831824757600191,1000
PAH_unique,auc_roc,0.8120263452935549,0.7271923364242397,0.8876540938867757,1000
PAH_unique,auc_pr,0.8405320289804589,0.7378933673467543,0.9191610725663864,1000
PAH_unique,f1_macro,0.7427028130353808,0.6515561100579027,0.8206245461147421,1000
PAH_unique,f1_weighted,0.7576982270365228,0.6728177399710752,0.8376645090419241,1000
PAH_unique,mcc,0.5370966204579871,0.3838726761577127,0.675911933328134,1000
PAH_unique,cohen_kappa,0.5015940170455938,0.343398416449032,0.6476683485731807,1000
