feature,importance
source_row_index,362
aa_change_te,267
EK_1,251
EK_8,221
EK7xEK9,219
EK_7,196
EK_9,185
EK_2,182
AL_10,169
EK7_minus_EK9,155
AL_9,150
EK2xEK4,145
EK_3,142
EK_5,140
AL_14,135
AL_12,130
EK4xEK6,130
AL_11,126
AL_26,124
AL_15,119
miss_pc7,112
min_AF_nz,112
AL_8,107
EK_6,106
EK_4,93
AL_7,89
AL_16,82
AL_13,81
AL_327,79
AL_22,74
AL_319,73
AL_186,73
max_prob_EK,72
AL_298,69
max_AF,69
cat1_te,68
AL_91,64
AL_23,60
AL_20,60
miss_pc3,59
AL_306,59
AL_145,59
AL_151,58
AL_40,57
AL_58,55
miss_pc4,55
miss_pc8,53
AL_178,52
AL_315,52
AL_25,51
AL_148,50
AL_331,50
AL_323,49
AL_52,48
AL_18,47
AL_133,45
AL_287,45
AL_296,44
AL_311,44
aa_involves_R,43
AL_181,43
AL_73,42
AL_166,41
AL_219,40
miss_pc10,40
AL_136,38
AL_226,38
AL_97,37
AL_184,37
AL_46,35
AL_24,35
AL_255,35
AL_194,34
AL_211,33
AL_43,33
AL_55,32
AL_251,31
AL_19,31
frac_flags,31
log_min_AF,30
AL_64,29
AL_49,29
AL_106,29
AL_112,28
log_max_AF,28
AL_17,28
miss_pc1,27
AL_238,27
AL_207,27
AL_172,27
AL_21,27
miss_pc6,27
AL_275,26
AL_247,26
AL_115,26
AL_283,26
AL_85,25
miss_pc2,25
AL_82,25
AL_61,25
AL_142,25
aa_from_special,25
miss_pc9,25
miss_pc5,24
AL_109,22
AL_124,22
AL_130,22
AL_188,22
AL_199,22
AL_224,21
AL_154,21
AL_67,20
aa_involves_G,20
AL_163,20
AL_103,20
AL_291,19
AL_169,19
AL_79,19
n_nonmiss_AL,18
AL_215,18
AL_302,18
AL_139,18
AL_230,17
AL_100,17
AL_54,17
AL_118,16
AL_157,16
AL_239,16
AL_160,15
AL_218,15
cat1_NFE,15
AL_70,14
AL_177,13
AL_271,13
cat1_gnomADe,13
AL_94,13
sum_flags,13
AL_304,13
AL_175,12
AL_83,11
AL_76,11
cat1_gnomADg,11
AL_235,11
