dataset,column,missing_count,missing_rate
MASTER,Variant_ID,0,0.0
MASTER,AL_1,2637,0.8996929375639714
MASTER,AL_2,2637,0.8996929375639714
MASTER,AL_3,2637,0.8996929375639714
MASTER,AL_4,2637,0.8996929375639714
MASTER,AL_5,2637,0.8996929375639714
MASTER,AL_6,2637,0.8996929375639714
MASTER,AL_7,1144,0.3903104742408734
MASTER,AL_8,1144,0.3903104742408734
MASTER,AL_9,1144,0.3903104742408734
MASTER,AL_10,1144,0.3903104742408734
MASTER,AL_11,1144,0.3903104742408734
MASTER,AL_12,1144,0.3903104742408734
MASTER,AL_13,1144,0.3903104742408734
MASTER,AL_14,1144,0.3903104742408734
MASTER,AL_15,1144,0.3903104742408734
MASTER,AL_16,1875,0.6397134083930399
MASTER,AL_17,1875,0.6397134083930399
MASTER,AL_18,1875,0.6397134083930399
MASTER,AL_19,1875,0.6397134083930399
MASTER,AL_20,1876,0.6400545888775162
MASTER,AL_21,1876,0.6400545888775162
MASTER,AL_22,1876,0.6400545888775162
MASTER,AL_23,1875,0.6397134083930399
MASTER,AL_24,1876,0.6400545888775162
MASTER,AL_25,1876,0.6400545888775162
MASTER,AL_26,1085,0.3701808256567724
MASTER,CAT_1,1085,0.3701808256567724
MASTER,AL_27,2679,0.9140225179119754
MASTER,AL_28,2679,0.9140225179119754
MASTER,AL_29,2679,0.9140225179119754
MASTER,AL_30,2679,0.9140225179119754
MASTER,AL_31,2679,0.9140225179119754
MASTER,AL_32,2679,0.9140225179119754
MASTER,AL_33,2679,0.9140225179119754
MASTER,AL_34,2679,0.9140225179119754
MASTER,AL_35,2679,0.9140225179119754
MASTER,AL_36,2679,0.9140225179119754
MASTER,AL_37,2679,0.9140225179119754
MASTER,AL_38,2679,0.9140225179119754
MASTER,AL_39,1417,0.48345274650290004
MASTER,AL_40,1417,0.48345274650290004
MASTER,AL_41,1417,0.48345274650290004
MASTER,AL_42,1417,0.48345274650290004
MASTER,AL_43,1417,0.48345274650290004
MASTER,AL_44,1417,0.48345274650290004
MASTER,AL_45,1417,0.48345274650290004
MASTER,AL_46,1417,0.48345274650290004
MASTER,AL_47,1417,0.48345274650290004
MASTER,AL_48,1417,0.48345274650290004
MASTER,AL_49,1417,0.48345274650290004
MASTER,AL_50,1417,0.48345274650290004
MASTER,AL_51,1417,0.48345274650290004
MASTER,AL_52,1417,0.48345274650290004
MASTER,AL_53,1417,0.48345274650290004
MASTER,AL_54,1417,0.48345274650290004
MASTER,AL_55,1417,0.48345274650290004
MASTER,AL_56,1417,0.48345274650290004
MASTER,AL_57,1417,0.48345274650290004
MASTER,AL_58,1417,0.48345274650290004
MASTER,AL_59,1417,0.48345274650290004
MASTER,AL_60,1417,0.48345274650290004
MASTER,AL_61,1417,0.48345274650290004
MASTER,AL_62,1417,0.48345274650290004
MASTER,AL_63,1417,0.48345274650290004
MASTER,AL_64,1417,0.48345274650290004
MASTER,AL_65,1417,0.48345274650290004
MASTER,AL_66,1417,0.48345274650290004
MASTER,AL_67,1417,0.48345274650290004
MASTER,AL_68,1417,0.48345274650290004
MASTER,AL_69,1417,0.48345274650290004
MASTER,AL_70,1417,0.48345274650290004
MASTER,AL_71,1417,0.48345274650290004
MASTER,AL_72,1417,0.48345274650290004
MASTER,AL_73,1417,0.48345274650290004
MASTER,AL_74,1417,0.48345274650290004
MASTER,AL_75,1734,0.5916069600818833
MASTER,AL_76,1734,0.5916069600818833
MASTER,AL_77,1734,0.5916069600818833
MASTER,AL_78,1734,0.5916069600818833
MASTER,AL_79,1734,0.5916069600818833
MASTER,AL_80,1734,0.5916069600818833
MASTER,AL_81,1734,0.5916069600818833
MASTER,AL_82,1734,0.5916069600818833
MASTER,AL_83,1734,0.5916069600818833
MASTER,AL_84,1734,0.5916069600818833
MASTER,AL_85,1734,0.5916069600818833
MASTER,AL_86,1734,0.5916069600818833
MASTER,AL_87,1734,0.5916069600818833
MASTER,AL_88,1734,0.5916069600818833
MASTER,AL_89,1734,0.5916069600818833
MASTER,AL_90,1734,0.5916069600818833
MASTER,AL_91,1734,0.5916069600818833
MASTER,AL_92,1734,0.5916069600818833
MASTER,AL_93,1734,0.5916069600818833
MASTER,AL_94,1734,0.5916069600818833
MASTER,AL_95,1734,0.5916069600818833
MASTER,CAT_2,1734,0.5916069600818833
MASTER,AL_96,1734,0.5916069600818833
MASTER,AL_97,1734,0.5916069600818833
MASTER,AL_98,1734,0.5916069600818833
MASTER,CAT_3,359,0.12248379392698738
MASTER,CAT_4,359,0.12248379392698738
MASTER,EK_1,359,0.12248379392698738
MASTER,EK_2,359,0.12248379392698738
MASTER,EK_3,1330,0.45377004435346296
MASTER,AL_99,1445,0.4930058000682361
MASTER,AL_100,1445,0.4930058000682361
MASTER,AL_101,1445,0.4930058000682361
MASTER,AL_102,1445,0.4930058000682361
MASTER,AL_103,1445,0.4930058000682361
MASTER,AL_104,1445,0.4930058000682361
MASTER,AL_105,1445,0.4930058000682361
MASTER,AL_106,1445,0.4930058000682361
MASTER,AL_107,1445,0.4930058000682361
MASTER,AL_108,1445,0.4930058000682361
MASTER,AL_109,1445,0.4930058000682361
MASTER,AL_110,1445,0.4930058000682361
MASTER,AL_111,1445,0.4930058000682361
MASTER,AL_112,1445,0.4930058000682361
MASTER,AL_113,1445,0.4930058000682361
MASTER,AL_114,1445,0.4930058000682361
MASTER,AL_115,1445,0.4930058000682361
MASTER,AL_116,1445,0.4930058000682361
MASTER,AL_117,1445,0.4930058000682361
MASTER,AL_118,1445,0.4930058000682361
MASTER,AL_119,1445,0.4930058000682361
MASTER,AL_120,1445,0.4930058000682361
MASTER,AL_121,1445,0.4930058000682361
MASTER,AL_122,1445,0.4930058000682361
MASTER,AL_123,1445,0.4930058000682361
MASTER,AL_124,1445,0.4930058000682361
MASTER,AL_125,1445,0.4930058000682361
MASTER,AL_126,1445,0.4930058000682361
MASTER,AL_127,1445,0.4930058000682361
MASTER,AL_128,1445,0.4930058000682361
MASTER,AL_129,1445,0.4930058000682361
MASTER,AL_130,1445,0.4930058000682361
MASTER,AL_131,1445,0.4930058000682361
MASTER,AL_132,1445,0.4930058000682361
MASTER,AL_133,1445,0.4930058000682361
MASTER,AL_134,1445,0.4930058000682361
MASTER,AL_135,1445,0.4930058000682361
MASTER,AL_136,1445,0.4930058000682361
MASTER,AL_137,1445,0.4930058000682361
MASTER,AL_138,1445,0.4930058000682361
MASTER,AL_139,1445,0.4930058000682361
MASTER,AL_140,1445,0.4930058000682361
MASTER,AL_141,1445,0.4930058000682361
MASTER,AL_142,1445,0.4930058000682361
MASTER,AL_143,1445,0.4930058000682361
MASTER,AL_144,1445,0.4930058000682361
MASTER,AL_145,1445,0.4930058000682361
MASTER,AL_146,1445,0.4930058000682361
MASTER,AL_147,1445,0.4930058000682361
MASTER,AL_148,1445,0.4930058000682361
MASTER,AL_149,1445,0.4930058000682361
MASTER,AL_150,1445,0.4930058000682361
MASTER,AL_151,1445,0.4930058000682361
MASTER,AL_152,1445,0.4930058000682361
MASTER,AL_153,1445,0.4930058000682361
MASTER,AL_154,1445,0.4930058000682361
MASTER,AL_155,1445,0.4930058000682361
MASTER,AL_156,1445,0.4930058000682361
MASTER,AL_157,1445,0.4930058000682361
MASTER,AL_158,1445,0.4930058000682361
MASTER,AL_159,1445,0.4930058000682361
MASTER,AL_160,1445,0.4930058000682361
MASTER,AL_161,1445,0.4930058000682361
MASTER,AL_162,1445,0.4930058000682361
MASTER,AL_163,1445,0.4930058000682361
MASTER,AL_164,1445,0.4930058000682361
MASTER,AL_165,1445,0.4930058000682361
MASTER,AL_166,1445,0.4930058000682361
MASTER,AL_167,1445,0.4930058000682361
MASTER,AL_168,1445,0.4930058000682361
MASTER,AL_169,1445,0.4930058000682361
MASTER,AL_170,1445,0.4930058000682361
MASTER,AL_171,1445,0.4930058000682361
MASTER,AL_172,1445,0.4930058000682361
MASTER,AL_173,1445,0.4930058000682361
MASTER,AL_174,1445,0.4930058000682361
MASTER,AL_175,1445,0.4930058000682361
MASTER,AL_176,1445,0.4930058000682361
MASTER,AL_177,1445,0.4930058000682361
MASTER,AL_178,1445,0.4930058000682361
MASTER,AL_179,1445,0.4930058000682361
MASTER,AL_180,1445,0.4930058000682361
MASTER,AL_181,1445,0.4930058000682361
MASTER,AL_182,1445,0.4930058000682361
MASTER,AL_183,1946,0.6639372227908563
MASTER,AL_184,1946,0.6639372227908563
MASTER,AL_185,1946,0.6639372227908563
MASTER,CAT_5,359,0.12248379392698738
MASTER,AL_186,919,0.3135448652337086
MASTER,AL_187,1890,0.6448311156601843
MASTER,AL_188,1890,0.6448311156601843
