iter	Passed	Remaining
0	107	21367
1	183	18147
2	260	17130
3	356	17481
4	456	17789
5	550	17793
6	688	18981
7	831	19962
8	938	19911
9	1037	19704
10	1181	20302
11	1263	19799
12	1346	19362
13	1422	18905
14	1498	18482
15	1562	17967
16	1668	17959
17	1755	17749
18	1831	17446
19	1913	17218
20	2068	17633
21	2289	18523
22	2390	18393
23	2494	18291
24	2598	18187
25	2719	18196
26	2814	18034
27	2883	17713
28	2980	17573
29	3061	17350
30	3132	17076
31	3200	16800
32	3271	16556
33	3365	16430
34	3492	16466
35	3622	16502
36	3719	16384
37	3813	16258
38	3905	16123
39	4007	16028
40	4136	16040
41	4211	15843
42	4309	15733
43	4372	15503
44	4439	15292
45	4503	15076
46	4602	14981
47	4696	14873
48	4782	14736
49	4883	14651
50	4999	14607
51	5117	14564
52	5257	14582
53	5398	14596
54	5471	14425
55	5536	14237
56	5615	14088
57	5692	13935
58	5828	13928
59	5952	13888
60	6038	13760
61	6107	13595
62	6179	13438
63	6240	13260
64	6328	13143
65	6422	13038
66	6519	12941
67	6623	12857
68	6756	12828
69	6844	12711
70	6908	12551
71	6970	12392
72	7035	12239
73	7093	12078
74	7146	11911
75	7199	11746
76	7257	11592
77	7325	11457
78	7385	11312
79	7450	11176
80	7515	11041
81	7586	10916
82	7653	10788
83	7722	10664
84	7796	10547
85	7868	10430
86	7973	10356
87	8107	10319
88	8197	10223
89	8289	10131
90	8349	10001
91	8421	9886
92	8483	9761
93	8561	9654
94	8649	9559
95	8749	9478
96	8828	9374
97	8900	9263
98	8974	9155
99	9049	9049
100	9127	8946
101	9207	8846
102	9286	8745
103	9380	8659
104	9452	8552
105	9530	8451
106	9625	8366
107	9714	8275
108	9797	8179
109	9877	8081
110	9936	7966
111	10014	7868
112	10093	7771
113	10162	7666
114	10232	7563
115	10299	7457
116	10355	7345
117	10407	7232
118	10465	7123
119	10517	7011
120	10572	6902
121	10634	6799
122	10692	6693
123	10752	6590
124	10819	6491
125	10877	6388
126	10928	6281
127	10979	6176
128	11031	6071
129	11084	5968
130	11141	5868
131	11192	5765
132	11256	5670
133	11322	5576
134	11386	5482
135	11450	5388
136	11505	5290
137	11563	5195
138	11615	5097
139	11671	5002
140	11740	4912
141	11818	4827
142	11943	4760
143	12041	4682
144	12134	4602
145	12235	4525
146	12408	4473
147	12545	4407
148	12641	4326
149	12718	4239
150	12815	4158
151	12940	4086
152	13107	4026
153	13250	3958
154	13383	3885
155	13500	3807
156	13644	3737
157	13786	3664
158	13915	3588
159	13999	3499
160	14088	3412
161	14161	3321
162	14243	3233
163	14317	3142
164	14387	3051
165	14456	2960
166	14528	2870
167	14613	2783
168	14696	2695
169	14805	2612
170	14906	2528
171	14989	2440
172	15112	2358
173	15249	2278
174	15382	2197
175	15472	2109
176	15561	2022
177	15654	1934
178	15736	1846
179	15797	1755
180	15881	1667
181	15982	1580
182	16048	1490
183	16128	1402
184	16217	1314
185	16303	1227
186	16395	1139
187	16513	1054
188	16661	969
189	16743	881
190	16831	793
191	16938	705
192	17024	617
193	17087	528
194	17155	439
195	17223	351
196	17291	263
197	17350	175
198	17416	87
199	17496	0
