row_index,Variant_ID,Label,is_master_shared,validation_fold
0,VAR_004572,1,True,-1
1,VAR_004387,0,False,1
2,VAR_001540,0,False,1
3,VAR_000808,1,False,4
4,VAR_000082,1,False,2
5,VAR_002119,0,False,0
6,VAR_006245,0,False,2
7,VAR_000163,1,False,1
8,VAR_005692,1,False,2
9,VAR_006030,1,False,0
10,VAR_004890,0,False,1
11,VAR_000584,0,False,2
12,VAR_003833,0,False,0
13,VAR_001918,1,True,-1
14,VAR_002625,1,False,0
15,VAR_001845,0,False,2
16,VAR_001979,1,True,-1
17,VAR_000636,1,True,-1
18,VAR_005011,1,False,2
19,VAR_005563,1,False,1
20,VAR_002538,1,False,4
21,VAR_002184,1,False,0
22,VAR_005553,1,False,0
23,VAR_006223,0,False,3
24,VAR_003782,1,False,0
25,VAR_000884,1,False,2
26,VAR_001654,0,False,0
27,VAR_005367,1,False,1
28,VAR_004860,1,False,0
29,VAR_002738,1,True,-1
30,VAR_000023,1,False,2
31,VAR_005772,1,False,0
32,VAR_002449,1,False,3
33,VAR_004889,1,False,1
34,VAR_002343,1,False,2
35,VAR_004330,0,False,1
36,VAR_000637,1,False,2
37,VAR_001186,1,False,4
38,VAR_005545,0,False,1
39,VAR_000578,1,True,-1
40,VAR_005018,0,False,2
41,VAR_002397,1,True,-1
42,VAR_005647,1,False,1
43,VAR_004634,0,False,2
44,VAR_002020,1,False,0
45,VAR_001239,1,False,4
46,VAR_001880,1,True,-1
47,VAR_004829,1,False,0
48,VAR_001582,0,False,0
49,VAR_001872,1,True,-1
50,VAR_004209,0,False,3
51,VAR_001548,1,False,0
52,VAR_003059,1,True,-1
53,VAR_004466,1,False,4
54,VAR_004873,1,False,3
55,VAR_001018,1,True,-1
56,VAR_005839,1,False,0
57,VAR_003136,1,True,-1
58,VAR_000344,0,False,0
59,VAR_000741,0,False,3
60,VAR_000752,1,False,3
61,VAR_001791,1,True,-1
62,VAR_000132,0,False,3
63,VAR_005138,1,False,2
64,VAR_005771,1,False,2
65,VAR_000927,1,True,-1
66,VAR_001841,1,True,-1
67,VAR_003641,0,False,1
68,VAR_000438,0,False,4
69,VAR_004716,1,True,-1
70,VAR_000853,1,False,1
71,VAR_002211,1,False,3
72,VAR_002235,0,False,4
73,VAR_003024,1,True,-1
74,VAR_001432,0,False,1
75,VAR_003334,1,False,3
76,VAR_005614,1,False,4
77,VAR_000414,1,False,0
78,VAR_005881,0,False,4
79,VAR_003160,1,True,-1
80,VAR_004708,0,True,-1
81,VAR_000086,1,False,0
82,VAR_000732,1,False,4
83,VAR_004760,1,False,0
84,VAR_002218,1,False,4
85,VAR_006065,1,False,2
86,VAR_005989,1,False,4
87,VAR_006413,0,False,0
88,VAR_001425,0,False,4
89,VAR_000053,0,False,1
90,VAR_004347,1,True,-1
91,VAR_006300,0,False,3
92,VAR_000540,0,False,4
93,VAR_004040,1,False,2
94,VAR_001261,1,True,-1
95,VAR_003541,1,False,0
96,VAR_005702,1,False,3
97,VAR_003522,0,False,3
98,VAR_002815,1,True,-1
99,VAR_001843,1,True,-1
100,VAR_004687,0,False,4
101,VAR_005060,1,False,4
102,VAR_000630,1,True,-1
103,VAR_002834,1,True,-1
104,VAR_002915,1,True,-1
105,VAR_002048,0,False,4
106,VAR_005699,1,False,3
107,VAR_005255,1,False,1
108,VAR_004795,1,False,3
109,VAR_000800,0,False,2
110,VAR_002746,1,True,-1
111,VAR_003421,0,False,1
112,VAR_002580,1,True,-1
113,VAR_000081,1,False,1
114,VAR_000850,1,False,0
115,VAR_003325,1,False,0
116,VAR_005416,0,False,0
117,VAR_006407,0,False,0
118,VAR_006584,1,False,0
119,VAR_005443,1,False,2
120,VAR_003252,1,False,2
121,VAR_001102,1,True,-1
122,VAR_005097,0,False,4
123,VAR_003331,0,False,0
124,VAR_000259,1,False,0
125,VAR_001754,0,False,4
126,VAR_002777,1,True,-1
127,VAR_000576,1,True,-1
128,VAR_003389,1,False,0
129,VAR_002884,1,True,-1
130,VAR_004467,1,False,2
131,VAR_000200,1,False,1
132,VAR_005242,1,False,0
133,VAR_005501,1,False,3
134,VAR_002854,1,True,-1
135,VAR_005498,1,False,1
136,VAR_005069,1,False,1
137,VAR_002092,0,False,3
138,VAR_002604,1,True,-1
139,VAR_000790,1,False,4
140,VAR_002426,1,False,2
141,VAR_006155,1,False,0
142,VAR_004509,1,False,3
143,VAR_000116,0,False,1
144,VAR_000602,1,True,-1
145,VAR_003013,0,False,3
146,VAR_006532,0,False,4
