model,fold,threshold_name,threshold,auc_roc,auc_pr,f1_macro,f1_weighted,mcc,benign_precision,benign_recall,benign_f1,pathogenic_precision,pathogenic_recall,pathogenic_f1
acmg_rule,0,default_0.5,0.5,0.6980170810079487,0.8152320268593601,0.5668321939007112,0.5853315378696595,0.221628285057948,0.3985239852398524,0.7397260273972602,0.5179856115107914,0.8090452261306532,0.49691358024691357,0.615678776290631
acmg_rule,0,f1_macro_opt,0.0009110511944006454,0.6980170810079487,0.8152320268593601,0.6449431577395759,0.7138939427974648,0.32816706208192264,0.6385542168674698,0.363013698630137,0.462882096069869,0.7596899224806202,0.9074074074074074,0.8270042194092827
acmg_rule,0,youden_j,0.8807970779778823,0.6980170810079487,0.8152320268593601,0.5686819676897635,0.5784134709628926,0.26710239469467556,0.40540540540540543,0.821917808219178,0.5429864253393665,0.8505747126436781,0.4567901234567901,0.5943775100401606
lr_ek_only,0,default_0.5,0.5,0.7285324708269914,0.8254217040158558,0.6559151193633952,0.7058222247305154,0.31186035162193415,0.5277777777777778,0.5205479452054794,0.5241379310344828,0.7852760736196319,0.7901234567901234,0.7876923076923077
lr_ek_only,0,f1_macro_opt,0.4661727625444872,0.7285324708269914,0.8254217040158558,0.6628920428611793,0.7150468710330957,0.3273375531614159,0.553030303030303,0.5,0.5251798561151079,0.7840236686390533,0.8179012345679012,0.8006042296072508
lr_ek_only,0,youden_j,0.5908741901059184,0.7285324708269914,0.8254217040158558,0.6039283745803554,0.6157370107279959,0.3285832648801627,0.43205574912891986,0.8493150684931506,0.5727482678983834,0.8797814207650273,0.49691358024691357,0.6351084812623274
lightgbm,0,default_0.5,0.5,0.8655610519194994,0.9244014389068633,0.5805568776772965,0.6799244534011158,0.35136509605439614,0.9333333333333333,0.1917808219178082,0.3181818181818182,0.7318181818181818,0.9938271604938271,0.8429319371727748
lightgbm,0,f1_macro_opt,0.6561121196297008,0.8655610519194994,0.9244014389068633,0.7772750202546739,0.8054518979548227,0.5583678674522522,0.6586826347305389,0.7534246575342466,0.7028753993610224,0.8811881188118812,0.8240740740740741,0.8516746411483254
lightgbm,0,youden_j,0.6908914084970207,0.8655610519194994,0.9244014389068633,0.7612932247906781,0.7841827083238779,0.549976292385558,0.6,0.8424657534246576,0.7008547008547008,0.9132075471698113,0.7469135802469136,0.8217317487266553
extra_trees,0,default_0.5,0.5,0.8479092677152038,0.9112091745256545,0.7644681939748168,0.7980610644167788,0.5289453754859476,0.673469387755102,0.678082191780822,0.6757679180887372,0.8544891640866873,0.8518518518518519,0.8531684698608965
extra_trees,0,f1_macro_opt,0.5441301756088585,0.8479092677152038,0.9112091745256545,0.7819632584895158,0.8107768780376101,0.5656669323520696,0.675,0.7397260273972602,0.7058823529411765,0.8774193548387097,0.8395061728395061,0.8580441640378549
extra_trees,0,youden_j,0.5704358794691609,0.8479092677152038,0.9112091745256545,0.7800207565983598,0.8076730138676071,0.5642381115521343,0.6607142857142857,0.7602739726027398,0.7070063694267515,0.8841059602649006,0.8240740740740741,0.853035143769968
acmg_rule,1,default_0.5,0.5,0.6904443027210885,0.8092547928870121,0.5397277182122987,0.5510462177571058,0.19015370271389656,0.38408304498269896,0.7551020408163265,0.5091743119266054,0.797752808988764,0.44375,0.570281124497992
