model,threshold_name,auc_roc,auc_roc,auc_pr,auc_pr,f1_macro,f1_macro,mcc,mcc
,,mean,std,mean,std,mean,std,mean,std
acmg_rule,default_0.5,0.6820163285013031,0.02503141149468415,0.7968992138789031,0.021881552790947365,0.541029922983823,0.02226244985099563,0.1827147308822517,0.04273226287856816
acmg_rule,f1_macro_opt,0.6820163285013031,0.02503141149468415,0.7968992138789031,0.021881552790947365,0.6359670524976562,0.01583643038517884,0.29355415752333514,0.028080594792749148
acmg_rule,youden_j,0.6820163285013031,0.02503141149468415,0.7968992138789031,0.021881552790947365,0.6015349119039473,0.02180557775487526,0.26572913524090963,0.014549061910692074
extra_trees,default_0.5,0.8299869660211192,0.02113592720942756,0.8963082307416814,0.01785275301154359,0.7416126077075924,0.0141279986064409,0.48463569883353086,0.027469805310228124
extra_trees,f1_macro_opt,0.8299869660211192,0.02113592720942756,0.8963082307416814,0.01785275301154359,0.7568552744675809,0.01979714463829106,0.5165830419637721,0.03954404369060727
extra_trees,youden_j,0.8299869660211192,0.02113592720942756,0.8963082307416814,0.01785275301154359,0.7506008620351196,0.020830280597513885,0.5153136981574364,0.03844656984236758
lightgbm,default_0.5,0.8470935954938946,0.022649311183415108,0.9074142755663935,0.02036246060714869,0.7268987905414752,0.08440159068094806,0.4948079825532174,0.08954394860683741
lightgbm,f1_macro_opt,0.8470935954938946,0.022649311183415108,0.9074142755663935,0.02036246060714869,0.7734821406337389,0.016201033683736044,0.5490491413814108,0.031756801631132446
lightgbm,youden_j,0.8470935954938946,0.022649311183415108,0.9074142755663935,0.02036246060714869,0.759334201128404,0.009335508334480417,0.5332173237147255,0.022436816128933584
lr_ek_only,default_0.5,0.7083392789859515,0.029560057327231534,0.8168549917536614,0.017358538434089577,0.6459060746501204,0.022362512474817853,0.2921785004193439,0.04465866671682311
lr_ek_only,f1_macro_opt,0.7083392789859515,0.029560057327231534,0.8168549917536614,0.017358538434089577,0.6525961508269074,0.022509913308266554,0.30633373695391086,0.04467290113385721
lr_ek_only,youden_j,0.7083392789859515,0.029560057327231534,0.8168549917536614,0.017358538434089577,0.6314947546883763,0.03205291348187757,0.32228185876067256,0.03503115392636868
