feature,importance,feature_group
source_row_index,362,interaction
aa_change_te,267,AA / amino-acid
EK_1,251,EK / computational
EK_8,221,EK / computational
EK7xEK9,219,EK / computational
EK_7,196,EK / computational
EK_9,185,EK / computational
EK_2,182,EK / computational
AL_10,169,AL / population frequency
EK7_minus_EK9,155,EK / computational
AL_9,150,AL / population frequency
EK2xEK4,145,EK / computational
EK_3,142,EK / computational
EK_5,140,EK / computational
AL_14,135,AL / population frequency
AL_12,130,AL / population frequency
EK4xEK6,130,EK / computational
AL_11,126,AL / population frequency
AL_26,124,AL / population frequency
AL_15,119,AL / population frequency
miss_pc7,112,missingness
min_AF_nz,112,AL / population frequency
AL_8,107,AL / population frequency
EK_6,106,EK / computational
EK_4,93,EK / computational
AL_7,89,AL / population frequency
AL_16,82,AL / population frequency
AL_13,81,AL / population frequency
AL_327,79,AL / population frequency
AL_22,74,AL / population frequency
AL_319,73,AL / population frequency
AL_186,73,AL / population frequency
max_prob_EK,72,interaction
AL_298,69,AL / population frequency
max_AF,69,AL / population frequency
cat1_te,68,CAT / metadata
AL_91,64,AL / population frequency
AL_23,60,AL / population frequency
AL_20,60,AL / population frequency
miss_pc3,59,missingness
AL_306,59,AL / population frequency
AL_145,59,AL / population frequency
AL_151,58,AL / population frequency
AL_40,57,AL / population frequency
AL_58,55,AL / population frequency
miss_pc4,55,missingness
miss_pc8,53,missingness
AL_178,52,AL / population frequency
AL_315,52,AL / population frequency
AL_25,51,AL / population frequency
AL_148,50,AL / population frequency
AL_331,50,AL / population frequency
AL_323,49,AL / population frequency
AL_52,48,AL / population frequency
AL_18,47,AL / population frequency
AL_133,45,AL / population frequency
AL_287,45,AL / population frequency
AL_296,44,AL / population frequency
AL_311,44,AL / population frequency
aa_involves_R,43,AA / amino-acid
AL_181,43,AL / population frequency
AL_73,42,AL / population frequency
AL_166,41,AL / population frequency
AL_219,40,AL / population frequency
miss_pc10,40,missingness
AL_136,38,AL / population frequency
AL_226,38,AL / population frequency
AL_97,37,AL / population frequency
AL_184,37,AL / population frequency
AL_46,35,AL / population frequency
AL_24,35,AL / population frequency
AL_255,35,AL / population frequency
AL_194,34,AL / population frequency
AL_211,33,AL / population frequency
AL_43,33,AL / population frequency
AL_55,32,AL / population frequency
AL_251,31,AL / population frequency
AL_19,31,AL / population frequency
frac_flags,31,other
log_min_AF,30,AL / population frequency
AL_64,29,AL / population frequency
AL_49,29,AL / population frequency
AL_106,29,AL / population frequency
AL_112,28,AL / population frequency
log_max_AF,28,AL / population frequency
AL_17,28,AL / population frequency
miss_pc1,27,missingness
AL_238,27,AL / population frequency
AL_207,27,AL / population frequency
AL_172,27,AL / population frequency
AL_21,27,AL / population frequency
miss_pc6,27,missingness
AL_275,26,AL / population frequency
AL_247,26,AL / population frequency
AL_115,26,AL / population frequency
AL_283,26,AL / population frequency
AL_85,25,AL / population frequency
miss_pc2,25,missingness
AL_82,25,AL / population frequency
AL_61,25,AL / population frequency
AL_142,25,AL / population frequency
aa_from_special,25,AA / amino-acid
miss_pc9,25,missingness
miss_pc5,24,missingness
AL_109,22,AL / population frequency
AL_124,22,AL / population frequency
AL_130,22,AL / population frequency
AL_188,22,AL / population frequency
AL_199,22,AL / population frequency
AL_224,21,AL / population frequency
AL_154,21,AL / population frequency
AL_67,20,AL / population frequency
aa_involves_G,20,AA / amino-acid
AL_163,20,AL / population frequency
AL_103,20,AL / population frequency
AL_291,19,AL / population frequency
AL_169,19,AL / population frequency
AL_79,19,AL / population frequency
n_nonmiss_AL,18,other
AL_215,18,AL / population frequency
AL_302,18,AL / population frequency
AL_139,18,AL / population frequency
AL_230,17,AL / population frequency
AL_100,17,AL / population frequency
AL_54,17,AL / population frequency
AL_118,16,AL / population frequency
AL_157,16,AL / population frequency
AL_239,16,AL / population frequency
AL_160,15,AL / population frequency
AL_218,15,AL / population frequency
cat1_NFE,15,CAT / metadata
AL_70,14,AL / population frequency
AL_177,13,AL / population frequency
AL_271,13,AL / population frequency
cat1_gnomADe,13,CAT / metadata
AL_94,13,AL / population frequency
sum_flags,13,other
AL_304,13,AL / population frequency
AL_175,12,AL / population frequency
AL_83,11,AL / population frequency
AL_76,11,AL / population frequency
cat1_gnomADg,11,CAT / metadata
AL_235,11,AL / population frequency
AL_121,11,AL / population frequency
AL_297,10,AL / population frequency
AL_262,10,AL / population frequency
AL_147,10,AL / population frequency
n_EK_path,10,other
AL_45,10,AL / population frequency
AL_105,9,AL / population frequency
AL_301,9,AL / population frequency
AL_42,9,AL / population frequency
EK_net_evidence,9,EK / computational
AL_111,9,AL / population frequency
aa_involves_C,8,AA / amino-acid
AL_279,8,AL / population frequency
AL_88,8,AL / population frequency
AL_39,8,AL / population frequency
AL_260,8,AL / population frequency
AL_223,8,AL / population frequency
AL_205,8,AL / population frequency
AL_243,8,AL / population frequency
AL_305,8,AL / population frequency
AL_202,8,AL / population frequency
AL_60,7,AL / population frequency
AL_127,7,AL / population frequency
AL_246,7,AL / population frequency
AL_84,7,AL / population frequency
AL_330,7,AL / population frequency
AL_93,7,AL / population frequency
aa_class_changed,7,AA / amino-acid
AL_325,7,AL / population frequency
AL_50,6,AL / population frequency
AL_96,6,AL / population frequency
AL_77,6,AL / population frequency
AL_1,6,AL / population frequency
AL_117,6,AL / population frequency
AL_266,6,AL / population frequency
AL_48,6,AL / population frequency
AL_234,5,AL / population frequency
AL_138,5,AL / population frequency
