threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,pathogenic_recall,specificity,f1,f1_binary,f1_macro,f1_weighted,mcc,cohen_kappa,brier_score,log_loss,ppv,npv,tn,fp,fn,tp,false_negative_rate,false_positive_rate,calibration_quality,medical_utility_score,clinical_safety_score,dataset_split,panel,n
0.05,0.8478143022783056,0.9040847361024198,0.730556736081598,0.5767746506915896,0.7197480881691408,0.9931719428926132,0.160377358490566,0.8346374543557642,0.8346374543557642,0.553786617086139,0.6575092594946831,0.3122886211764514,0.1974795792771624,0.142691432010178,0.4519997382294056,0.7197480881691408,0.9153846153846154,119,623,11,1600,0.0068280571073867,0.839622641509434,0.4292342719592878,0.6493881636774829,0.6335968127868339,MASTER_ONLY_CV,,2353
0.055,0.8478143022783056,0.9040847361024198,0.7331066723331917,0.5811812655915112,0.7218961625282168,0.9925512104283054,0.1698113207547169,0.8358599059069525,0.8358599059069525,0.5611117711352944,0.6625805892893832,0.321076949074447,0.2080362387504233,0.142691432010178,0.4519997382294056,0.7218961625282168,0.9130434782608696,126,616,12,1599,0.0074487895716946,0.8301886792452831,0.4292342719592878,0.6533213487053788,0.6372414645841443,MASTER_ONLY_CV,,2353
0.06,0.8478143022783056,0.9040847361024198,0.7373565660858479,0.5879198100659048,0.7251700680272108,0.9925512104283054,0.183288409703504,0.8380503144654088,0.8380503144654088,0.5718341459967493,0.6701519744707252,0.3365358269125138,0.2242600576782119,0.142691432010178,0.4519997382294056,0.7251700680272108,0.918918918918919,136,606,12,1599,0.0074487895716946,0.816711590296496,0.4292342719592878,0.6596512248651473,0.6432893052758546,MASTER_ONLY_CV,,2353
0.065,0.8478143022783056,0.9040847361024198,0.7433064173395665,0.5973537723300557,0.7298037425832953,0.9925512104283054,0.2021563342318059,0.8411362440820621,0.8411362440820621,0.5864973255808541,0.6805394931021247,0.3573171052667633,0.2467223263426589,0.142691432010178,0.4519997382294056,0.7298037425832953,0.925925925925926,150,592,12,1599,0.0074487895716946,0.7978436657681941,0.4292342719592878,0.6682953782374473,0.6515318303371505,MASTER_ONLY_CV,,2353
0.07,0.8478143022783056,0.9040847361024198,0.7513812154696132,0.6101570068314034,0.7361878453038674,0.9925512104283054,0.2277628032345013,0.845360824742268,0.845360824742268,0.6057790039204298,0.6942603478618566,0.3841692921931333,0.2767475035663338,0.142691432010178,0.4519997382294056,0.7361878453038674,0.9337016574585636,169,573,12,1599,0.0074487895716946,0.7722371967654986,0.4292342719592878,0.6796722502656409,0.6623551663736303,MASTER_ONLY_CV,,2353
0.075,0.8478143022783056,0.9040847361024198,0.7556311092222694,0.6172590395210823,0.7398148148148148,0.9919304779639976,0.2425876010781671,0.8475205515778308,0.8475205515778308,0.6162736447728726,0.7016767735503944,0.3971188671801222,0.2929846371554151,0.142691432010178,0.4519997382294056,0.7398148148148148,0.932642487046632,180,562,13,1598,0.0080695220360024,0.7574123989218329,0.4292342719592878,0.6855718676636893,0.6678465741671842,MASTER_ONLY_CV,,2353
0.08,0.8478143022783056,0.9040847361024198,0.7569060773480663,0.6203710675092566,0.7415155741515574,0.990068280571074,0.2506738544474393,0.847953216374269,0.847953216374269,0.6210105064922192,0.7048240274813825,0.3993060962580739,0.2995361869907529,0.142691432010178,0.4519997382294056,0.7415155741515574,0.9207920792079208,186,556,16,1595,0.0099317194289261,0.7493261455525606,0.4292342719592878,0.6874906028286479,0.6693376252293728,MASTER_ONLY_CV,,2353
0.0849999999999999,0.8478143022783056,0.9040847361024198,0.7624309392265194,0.629858151756539,0.746485473289597,0.988826815642458,0.2708894878706199,0.8507343124165554,0.8507343124165554,0.634524284199953,0.714374056626739,0.4153647821551065,0.3206787185659607,0.142691432010178,0.4519997382294056,0.746485473289597,0.9178082191780822,201,541,18,1593,0.0111731843575419,0.72911051212938,0.4292342719592878,0.695040887899709,0.6762876261751036,MASTER_ONLY_CV,,2353
0.09,0.8478143022783056,0.9040847361024198,0.768380790480238,0.63929211402069,0.7514150943396226,0.988826815642458,0.2897574123989218,0.8539265612436344,0.8539265612436344,0.6474761011346377,0.7237215111791419,0.4333715099642569,0.3418276403803525,0.142691432010178,0.4519997382294056,0.7514150943396226,0.9227467811158798,215,527,18,1593,0.0111731843575419,0.7102425876010782,0.4292342719592878,0.7028775768969956,0.6837185367299666,MASTER_ONLY_CV,,2353
0.095,0.8478143022783056,0.9040847361024198,0.7709307267318317,0.644062217135897,0.7540284360189573,0.9875853507138423,0.3005390835579515,0.8551464660037624,0.8551464660037624,0.6539691720881756,0.7282671187148841,0.4399318939850264,0.3519638565975148,0.142691432010178,0.4519997382294056,0.7540284360189573,0.9176954732510288,223,519,20,1591,0.0124146492861576,0.6994609164420486,0.4292342719592878,0.7063223649428758,0.6867723750609002,MASTER_ONLY_CV,,2353
