component,explained_variance_ratio,cumulative_explained_variance
PC1,0.3072858908761487,0.3072858908761487
PC2,0.10677685331166255,0.41406274418781125
PC3,0.024255169146872688,0.43831791333468395
PC4,0.024003704028672097,0.46232161736335603
PC5,0.022910181491034624,0.48523179885439066
PC6,0.018524407311570085,0.5037562061659607
PC7,0.012222448903218497,0.5159786550691792
PC8,0.009696360148579867,0.5256750152177591
PC9,0.009480920695256086,0.5351559359130151
PC10,0.00887154172497272,0.5440274776379879
PC11,0.00872562002609776,0.5527530976640856
PC12,0.007603851228715695,0.5603569488928013
PC13,0.006652487813768683,0.56700943670657
PC14,0.005226900965133964,0.572236337671704
PC15,0.004990331678463903,0.5772266693501679
PC16,0.0047149104380959615,0.5819415797882638
PC17,0.0045226334061202675,0.586464213194384
PC18,0.004278360356890965,0.590742573551275
PC19,0.0042600445020382575,0.5950026180533132
PC20,0.004173220428223161,0.5991758384815364
