artifact_name,original_path,locked_copy_path,artifact_type,sha256_original,sha256_locked_copy,size_bytes,created_or_modified_time,required_for_inference,required_for_metric_verification,protected_do_not_modify,notes
final_model,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\models\final_model.pkl,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\model\final_model.pkl,final model bundle,6d66d7ed89fcd05999f875a517452551d754a051427e7b1dc7f51bb5caeb07c5,6d66d7ed89fcd05999f875a517452551d754a051427e7b1dc7f51bb5caeb07c5,1217444,2026-06-24T16:33:46.649467+00:00,True,False,True,Selected protected LightGBM bundle.
final_model_columns,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\models\final_model_columns.txt,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\model\final_model_columns.txt,feature schema,22066b5092026480e5e1c0c181480d7800c8c9ee41b47441ce0cfee5b17e6233,22066b5092026480e5e1c0c181480d7800c8c9ee41b47441ce0cfee5b17e6233,3495,2026-06-24T16:33:46.661554+00:00,True,True,True,Exact aligned model columns.
final_preprocessor,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\preprocessors\final_preprocessor.pkl,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\preprocessing\final_preprocessor.pkl,preprocessing artifact,cdcb02282d73dde38c741593578a5f6bb8a9b1baf83b0c54ed74abdf86065336,cdcb02282d73dde38c741593578a5f6bb8a9b1baf83b0c54ed74abdf86065336,40787,2026-06-24T16:33:46.659537+00:00,True,False,True,Protected feature engineer.
final_threshold,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\metrics\final_threshold.json,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\metadata\final_threshold.json,threshold metadata,d9637bffb9956af8b16aa12c87c775128b9e6c7524d27fa31a92fc8563bb9728,d9637bffb9956af8b16aa12c87c775128b9e6c7524d27fa31a92fc8563bb9728,250,2026-06-24T16:33:46.673379+00:00,True,True,True,Threshold must remain 0.471.
final_metrics,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\metrics\final_metrics.json,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\metadata\final_metrics.json,reported metrics,df22a72de503d2d534945a5935856ce00d9cf5ff1cd59024ad0e188d23813724,df22a72de503d2d534945a5935856ce00d9cf5ff1cd59024ad0e188d23813724,1465,2026-06-24T16:33:46.677405+00:00,False,True,True,Source metrics for reverification.
final_decision_source,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\metrics\final_model_decision.json,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\metadata\final_model_decision_source.json,selection decision,3897c0a08d7d97dcf34fe24cc17ea9da5e41712544529e13f12c0076084f790c,3897c0a08d7d97dcf34fe24cc17ea9da5e41712544529e13f12c0076084f790c,7382,2026-06-22T17:08:20.813568+00:00,True,True,True,Protected final selection decision.
final_feature_list,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\metrics\final_feature_list.json,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\metadata\final_feature_list.json,feature schema,d831e5807cb1cffaf9cf3bca3cd9dae7e7182d1726d39137e2ee1c44b1277b2d,d831e5807cb1cffaf9cf3bca3cd9dae7e7182d1726d39137e2ee1c44b1277b2d,5696,2026-06-24T16:21:30.820682+00:00,True,True,True,Feature leakage audit input.
final_config,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\metrics\final_config.json,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\metadata\final_config.json,model configuration,bdb340873c1bf9f7ca8552f8c0522d8d8f99c3ae253eb204117097e7b8971c9b,bdb340873c1bf9f7ca8552f8c0522d8d8f99c3ae253eb204117097e7b8971c9b,712,2026-06-24T16:33:46.679158+00:00,False,True,True,Selected model configuration.
master_oof_predictions,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\predictions\final_master_cv_predictions.csv,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\predictions\final_master_cv_predictions.csv,MASTER OOF predictions,14224749162f7191561df8fbe8202eaad47b825690c58f1be98c686803d3a564,14224749162f7191561df8fbe8202eaad47b825690c58f1be98c686803d3a564,220660,2026-06-24T16:35:10.676053+00:00,False,True,True,Metric evidence.
panel_predictions,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\predictions\final_panel_predictions.csv,C:\Users\qurba\OneDrive\Documents\Teknofest\artifacts\final_locked\predictions\final_panel_predictions.csv,panel-unique predictions,cb6b5b20a502190598990988231e03aea9e117ca615264282641c756efca86ed,cb6b5b20a502190598990988231e03aea9e117ca615264282641c756efca86ed,29330,2026-06-24T16:35:11.406923+00:00,False,True,True,Panel metric evidence.
