model_name,evaluation_split,threshold_source,threshold_strategy,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,tn,fp,fn,tp,feature,error_group,feature_mean,feature_median,n_group
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_7,FN,7.2135734591057155,7.2135734591057155,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_7,FP,5.218080755541024,5.218080755541024,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_7,TN,4.328869051707081,4.552582854643481,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_7,TP,7.178634793642275,7.666633199300337,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_9,FN,9.72646989436228,9.72646989436228,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_9,FP,6.299385276903221,6.299385276903221,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_9,TN,4.909245398282935,5.365326176536329,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_9,TP,8.910985614862053,8.099661561837715,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,n_pops,FN,26.0,26.0,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,n_pops,FP,15.0,15.0,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,n_pops,TN,17.933333333333334,26.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,n_pops,TP,15.333333333333334,20.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,max_AF,FN,0.09102880870634439,0.09102880870634439,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,max_AF,FP,0.0515812040454221,0.0515812040454221,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,max_AF,TN,0.07478037314579433,0.0929509516927938,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,max_AF,TP,0.06350175849143395,0.0733515436350812,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,log_max_AF,FN,-1.042873347023982,-1.042873347023982,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,log_max_AF,FP,-1.4672155245733358,-1.4672155245733358,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,log_max_AF,TN,-3.8256298927421315,-1.0317461592776302,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,log_max_AF,TP,-2.1589028554471597,-1.134590742282263,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_net_evidence,FN,5.5,5.5,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_net_evidence,FP,4.5,4.5,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_net_evidence,TN,3.466666666666667,4.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,EK_net_evidence,TP,5.266666666666667,5.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_multipop,FN,0.0,0.0,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_multipop,FP,0.0,0.0,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_multipop,TN,0.0,0.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_multipop,TP,0.06666666666666667,0.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_AFR,FN,0.0,0.0,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_AFR,FP,0.0,0.0,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_AFR,TN,0.13333333333333333,0.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_AFR,TP,0.13333333333333333,0.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_NFE,FN,0.0,0.0,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_NFE,FP,1.0,1.0,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_NFE,TN,0.06666666666666667,0.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,cat1_NFE,TP,0.3333333333333333,0.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,aa_class_changed,FN,0.5,0.5,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,aa_class_changed,FP,0.5,0.5,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,aa_class_changed,TN,0.6666666666666666,1.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,aa_class_changed,TP,0.8666666666666667,1.0,15
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,aa_change_te,FN,0.6085177332618479,0.6085177332618479,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,aa_change_te,FP,0.6407889798703514,0.6407889798703514,2
lightgbm,CFTR_unique,current_split,selected_threshold,0.631,0.8823529411764706,0.8823529411764706,0.9619377162629758,0.9610330029447677,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,15,2,2,15,aa_change_te,TN,0.6723335150098809,0.6802442573754168,15
