path,extension,bytes,classification,reason,proposed_archive_root
.pytest_cache/.gitignore,,39,LEGACY_ARCHIVE,retain as evidence pending archive execution,archive/previous_results/
.pytest_cache/CACHEDIR.TAG,.tag,191,LEGACY_ARCHIVE,retain as evidence pending archive execution,archive/previous_results/
.pytest_cache/v/cache/nodeids,,1683,LEGACY_ARCHIVE,retain as evidence pending archive execution,archive/previous_results/
artifacts/metrics/experiments/experiment_001_initial/all_evaluation_metrics.csv,.csv,9901,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_001_initial/config.json,.json,174,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_001_initial/diagnosis.md,.md,212,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_001_initial/error_analysis.csv,.csv,4952,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_001_initial/feature_importance.csv,.csv,10363,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_001_initial/main_model_cv_results.csv,.csv,3750,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_001_initial/metrics.csv,.csv,2439,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_001_initial/panel_generalization_results.csv,.csv,147,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_001_initial/threshold_results.csv,.csv,170,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_002_f1_threshold/config.json,.json,188,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_002_f1_threshold/diagnosis.md,.md,205,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_002_f1_threshold/metrics.csv,.csv,2439,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_003_youden_threshold/config.json,.json,189,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_003_youden_threshold/diagnosis.md,.md,186,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_003_youden_threshold/metrics.csv,.csv,2439,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_004_extra_trees/config.json,.json,189,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_004_extra_trees/diagnosis.md,.md,148,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_004_extra_trees/metrics.csv,.csv,1145,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_005_catboost/config.json,.json,189,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_005_catboost/diagnosis.md,.md,142,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_005_catboost/metrics.csv,.csv,1136,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_006_ensemble_stack/config.json,.json,189,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
artifacts/metrics/experiments/experiment_006_ensemble_stack/diagnosis.md,.md,165,LEGACY_ARCHIVE,useful previous evidence or generated visualization,archive/previous_results/
