path,classification,reason,recommended_action,archive_target,execution_status
artifacts/metrics/experiments/experiment_001_initial/all_evaluation_metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_001_initial/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_001_initial/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_001_initial/error_analysis.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_001_initial/feature_importance.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_001_initial/main_model_cv_results.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_001_initial/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_001_initial/panel_generalization_results.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_001_initial/threshold_results.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_002_f1_threshold/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_002_f1_threshold/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_002_f1_threshold/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_003_youden_threshold/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_003_youden_threshold/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_003_youden_threshold/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_004_extra_trees/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_004_extra_trees/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_004_extra_trees/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_005_catboost/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_005_catboost/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_005_catboost/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_006_ensemble_stack/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_006_ensemble_stack/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_006_ensemble_stack/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_007_lr_ek_only/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_007_lr_ek_only/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_007_lr_ek_only/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_008_ek_only_features/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_008_ek_only_features/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_008_ek_only_features/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_009_al_only_features/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_009_al_only_features/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_009_al_only_features/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_010_engineered_only/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_010_engineered_only/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/experiment_010_engineered_only/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
artifacts/metrics/experiments/lightgbm_balanced_regularized/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval,archive/previous_results/misc,NOT_EXECUTED
