file_path,purpose,imports_internal_modules,writes_outputs,reads_inputs,active_in_pipeline,called_by_readme,called_by_run_pipeline,related_phase,safe_to_archive_later,notes
run_pipeline.py,Problem Definition,yes,yes,yes,yes,unknown,unknown,final,no,static audit
scripts/build_fifth_section_explainability.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
scripts/build_validation_strategy.py,module,yes,yes,no,unknown,unknown,unknown,final,maybe,static audit
scripts/create_eda_model_bridge.py,Decision Bridge,no,yes,yes,unknown,unknown,unknown,final,maybe,static audit
scripts/create_eda_notebook.py,TEKNOFEST 2026 - Exploratory Data Analysis,no,yes,yes,unknown,unknown,unknown,final,maybe,static audit
scripts/create_required_notebooks.py,module,yes,no,yes,unknown,unknown,unknown,final,maybe,static audit
scripts/engineer_second_section.py,module,yes,yes,no,unknown,unknown,unknown,final,maybe,static audit
scripts/execute_eda_notebook.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
scripts/generate_final_report_assets.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
scripts/generate_final_submission.py,module,yes,no,yes,unknown,unknown,unknown,final,maybe,static audit
scripts/prepare_first_section.py,module,yes,yes,no,unknown,unknown,unknown,final,maybe,static audit
scripts/run_final_competition_pipeline.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
scripts/run_final_ensemble.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
scripts/run_final_model_zoo.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
scripts/run_final_selection_board.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
scripts/run_final_test_evaluation.py,Executive Summary,yes,yes,no,unknown,unknown,unknown,final,maybe,static audit
scripts/run_master_prompt_requirements.py,module,yes,yes,yes,unknown,unknown,unknown,final,maybe,static audit
scripts/run_medical_metric_audit.py,module,no,yes,yes,unknown,unknown,unknown,final,maybe,static audit
scripts/run_model_performance_improvement.py,1. Current Baseline Performance,yes,yes,yes,yes,unknown,unknown,final,no,static audit
scripts/run_optuna_lgbm_study.py,module,yes,yes,yes,unknown,unknown,unknown,final,maybe,static audit
scripts/run_pdf_eda_prompt.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
scripts/run_phase9_outputs.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
scripts/train_fourth_section.py,module,yes,yes,no,unknown,unknown,unknown,final,maybe,static audit
scripts/v2_repository_cleanup_audit.py,module,no,yes,no,unknown,unknown,unknown,final,maybe,static audit
scripts/v3_baseline_freeze.py,module,no,yes,yes,unknown,unknown,unknown,final,maybe,static audit
scripts/v3_evidence_audit.py,module,no,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/advanced_bio_features.py,"Standard BLOSUM62 matrix, stored compactly to keep substitution handling deterministic.",no,no,no,unknown,unknown,unknown,final,maybe,static audit
src/baselines.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
