feature,feature_group,source
AL_1,AL_frequency,sample_real_data
AL_2,AL_frequency,sample_real_data
AL_3,AL_frequency,sample_real_data
AL_4,AL_frequency,sample_real_data
AL_5,AL_frequency,sample_real_data
AL_6,AL_frequency,sample_real_data
AL_7,AL_frequency,sample_real_data
AL_8,AL_frequency,sample_real_data
AL_9,AL_frequency,sample_real_data
AL_10,AL_frequency,sample_real_data
AL_11,AL_frequency,sample_real_data
AL_12,AL_frequency,sample_real_data
AL_13,AL_frequency,sample_real_data
AL_14,AL_frequency,sample_real_data
AL_15,AL_frequency,sample_real_data
AL_16,AL_frequency,sample_real_data
AL_17,AL_frequency,sample_real_data
AL_18,AL_frequency,sample_real_data
AL_19,AL_frequency,sample_real_data
AL_20,AL_frequency,sample_real_data
AL_21,AL_frequency,sample_real_data
AL_22,AL_frequency,sample_real_data
AL_23,AL_frequency,sample_real_data
AL_24,AL_frequency,sample_real_data
AL_25,AL_frequency,sample_real_data
AL_26,AL_frequency,sample_real_data
AL_27,AL_frequency,sample_real_data
AL_28,AL_frequency,sample_real_data
AL_29,AL_frequency,sample_real_data
AL_30,AL_frequency,sample_real_data
AL_31,AL_frequency,sample_real_data
AL_32,AL_frequency,sample_real_data
AL_33,AL_frequency,sample_real_data
AL_34,AL_frequency,sample_real_data
AL_35,AL_frequency,sample_real_data
AL_36,AL_frequency,sample_real_data
AL_37,AL_frequency,sample_real_data
AL_38,AL_frequency,sample_real_data
AL_39,AL_frequency,sample_real_data
AL_40,AL_frequency,sample_real_data
AL_41,AL_frequency,sample_real_data
AL_42,AL_frequency,sample_real_data
AL_43,AL_frequency,sample_real_data
AL_44,AL_frequency,sample_real_data
AL_45,AL_frequency,sample_real_data
AL_46,AL_frequency,sample_real_data
AL_47,AL_frequency,sample_real_data
AL_48,AL_frequency,sample_real_data
AL_49,AL_frequency,sample_real_data
AL_50,AL_frequency,sample_real_data
AL_51,AL_frequency,sample_real_data
AL_52,AL_frequency,sample_real_data
AL_53,AL_frequency,sample_real_data
AL_54,AL_frequency,sample_real_data
AL_55,AL_frequency,sample_real_data
AL_56,AL_frequency,sample_real_data
AL_57,AL_frequency,sample_real_data
AL_58,AL_frequency,sample_real_data
AL_59,AL_frequency,sample_real_data
AL_60,AL_frequency,sample_real_data
AL_61,AL_frequency,sample_real_data
AL_62,AL_frequency,sample_real_data
AL_63,AL_frequency,sample_real_data
AL_64,AL_frequency,sample_real_data
AL_65,AL_frequency,sample_real_data
AL_66,AL_frequency,sample_real_data
AL_67,AL_frequency,sample_real_data
AL_68,AL_frequency,sample_real_data
AL_69,AL_frequency,sample_real_data
AL_70,AL_frequency,sample_real_data
AL_71,AL_frequency,sample_real_data
AL_72,AL_frequency,sample_real_data
AL_73,AL_frequency,sample_real_data
AL_74,AL_frequency,sample_real_data
AL_75,AL_frequency,sample_real_data
AL_76,AL_frequency,sample_real_data
AL_77,AL_frequency,sample_real_data
AL_78,AL_frequency,sample_real_data
AL_79,AL_frequency,sample_real_data
AL_80,AL_frequency,sample_real_data
AL_81,AL_frequency,sample_real_data
AL_82,AL_frequency,sample_real_data
AL_83,AL_frequency,sample_real_data
AL_84,AL_frequency,sample_real_data
AL_85,AL_frequency,sample_real_data
AL_86,AL_frequency,sample_real_data
AL_87,AL_frequency,sample_real_data
AL_88,AL_frequency,sample_real_data
AL_89,AL_frequency,sample_real_data
AL_90,AL_frequency,sample_real_data
AL_91,AL_frequency,sample_real_data
AL_92,AL_frequency,sample_real_data
AL_93,AL_frequency,sample_real_data
AL_94,AL_frequency,sample_real_data
AL_95,AL_frequency,sample_real_data
AL_96,AL_frequency,sample_real_data
AL_97,AL_frequency,sample_real_data
AL_98,AL_frequency,sample_real_data
EK_1,EK_conservation,sample_real_data
EK_2,EK_conservation,sample_real_data
EK_3,EK_conservation,sample_real_data
AL_99,AL_frequency,sample_real_data
AL_100,AL_frequency,sample_real_data
AL_101,AL_frequency,sample_real_data
AL_102,AL_frequency,sample_real_data
AL_103,AL_frequency,sample_real_data
AL_104,AL_frequency,sample_real_data
AL_105,AL_frequency,sample_real_data
AL_106,AL_frequency,sample_real_data
AL_107,AL_frequency,sample_real_data
AL_108,AL_frequency,sample_real_data
AL_109,AL_frequency,sample_real_data
AL_110,AL_frequency,sample_real_data
AL_111,AL_frequency,sample_real_data
AL_112,AL_frequency,sample_real_data
AL_113,AL_frequency,sample_real_data
AL_114,AL_frequency,sample_real_data
AL_115,AL_frequency,sample_real_data
AL_116,AL_frequency,sample_real_data
AL_117,AL_frequency,sample_real_data
AL_118,AL_frequency,sample_real_data
AL_119,AL_frequency,sample_real_data
AL_120,AL_frequency,sample_real_data
AL_121,AL_frequency,sample_real_data
AL_122,AL_frequency,sample_real_data
AL_123,AL_frequency,sample_real_data
AL_124,AL_frequency,sample_real_data
AL_125,AL_frequency,sample_real_data
AL_126,AL_frequency,sample_real_data
AL_127,AL_frequency,sample_real_data
AL_128,AL_frequency,sample_real_data
AL_129,AL_frequency,sample_real_data
AL_130,AL_frequency,sample_real_data
AL_131,AL_frequency,sample_real_data
AL_132,AL_frequency,sample_real_data
AL_133,AL_frequency,sample_real_data
AL_134,AL_frequency,sample_real_data
AL_135,AL_frequency,sample_real_data
AL_136,AL_frequency,sample_real_data
AL_137,AL_frequency,sample_real_data
AL_138,AL_frequency,sample_real_data
AL_139,AL_frequency,sample_real_data
AL_140,AL_frequency,sample_real_data
AL_141,AL_frequency,sample_real_data
AL_142,AL_frequency,sample_real_data
AL_143,AL_frequency,sample_real_data
AL_144,AL_frequency,sample_real_data
AL_145,AL_frequency,sample_real_data
AL_146,AL_frequency,sample_real_data
AL_147,AL_frequency,sample_real_data
AL_148,AL_frequency,sample_real_data
AL_149,AL_frequency,sample_real_data
AL_150,AL_frequency,sample_real_data
AL_151,AL_frequency,sample_real_data
AL_152,AL_frequency,sample_real_data
AL_153,AL_frequency,sample_real_data
AL_154,AL_frequency,sample_real_data
AL_155,AL_frequency,sample_real_data
AL_156,AL_frequency,sample_real_data
AL_157,AL_frequency,sample_real_data
AL_158,AL_frequency,sample_real_data
AL_159,AL_frequency,sample_real_data
AL_160,AL_frequency,sample_real_data
AL_161,AL_frequency,sample_real_data
AL_162,AL_frequency,sample_real_data
AL_163,AL_frequency,sample_real_data
AL_164,AL_frequency,sample_real_data
AL_165,AL_frequency,sample_real_data
AL_166,AL_frequency,sample_real_data
AL_167,AL_frequency,sample_real_data
AL_168,AL_frequency,sample_real_data
AL_169,AL_frequency,sample_real_data
AL_170,AL_frequency,sample_real_data
AL_171,AL_frequency,sample_real_data
AL_172,AL_frequency,sample_real_data
AL_173,AL_frequency,sample_real_data
AL_174,AL_frequency,sample_real_data
AL_175,AL_frequency,sample_real_data
AL_176,AL_frequency,sample_real_data
AL_177,AL_frequency,sample_real_data
AL_178,AL_frequency,sample_real_data
AL_179,AL_frequency,sample_real_data
AL_180,AL_frequency,sample_real_data
AL_181,AL_frequency,sample_real_data
AL_182,AL_frequency,sample_real_data
AL_183,AL_frequency,sample_real_data
AL_184,AL_frequency,sample_real_data
AL_185,AL_frequency,sample_real_data
AL_186,AL_frequency,sample_real_data
AL_187,AL_frequency,sample_real_data
AL_188,AL_frequency,sample_real_data
AL_189,AL_frequency,sample_real_data
AL_190,AL_frequency,sample_real_data
AL_191,AL_frequency,sample_real_data
AL_192,AL_frequency,sample_real_data
AL_193,AL_frequency,sample_real_data
AL_194,AL_frequency,sample_real_data
AL_195,AL_frequency,sample_real_data
AL_196,AL_frequency,sample_real_data
AL_197,AL_frequency,sample_real_data
AL_198,AL_frequency,sample_real_data
AL_199,AL_frequency,sample_real_data
AL_200,AL_frequency,sample_real_data
AL_201,AL_frequency,sample_real_data
AL_202,AL_frequency,sample_real_data
AL_203,AL_frequency,sample_real_data
AL_204,AL_frequency,sample_real_data
AL_205,AL_frequency,sample_real_data
AL_206,AL_frequency,sample_real_data
AL_207,AL_frequency,sample_real_data
AL_208,AL_frequency,sample_real_data
AL_209,AL_frequency,sample_real_data
AL_210,AL_frequency,sample_real_data
AL_211,AL_frequency,sample_real_data
AL_212,AL_frequency,sample_real_data
AL_213,AL_frequency,sample_real_data
AL_214,AL_frequency,sample_real_data
AL_215,AL_frequency,sample_real_data
AL_216,AL_frequency,sample_real_data
AL_217,AL_frequency,sample_real_data
AL_218,AL_frequency,sample_real_data
AL_219,AL_frequency,sample_real_data
AL_220,AL_frequency,sample_real_data
AL_221,AL_frequency,sample_real_data
AL_222,AL_frequency,sample_real_data
AL_223,AL_frequency,sample_real_data
